Name: * Bloodhound Gloves | Guerrilla (Minimal Wear)                             $306.20 USD         #6
Name: Souvenir M4A1-S | Knight (Factory New)                                     $308.26 USD         #15
Name: Glock-18 | Fade (Factory New)                                              $308.28 USD         #30
Name: * Karambit | Doppler (Factory New)                                         $308.32 USD         #93
Name: * Specialist Gloves | Crimson Web (Well-Worn)                              $308.46 USD         #3
Name: * Bayonet | Gamma Doppler (Factory New)                                    $309.90 USD         #45
Name: * Flip Knife | Lore (Factory New)                                          $310.40 USD         #6
Name: * M9 Bayonet | Forest DDPAT (Factory New)                                  $310.63 USD         #2
Name: * StatTrak(TM) Karambit | Blue Steel (Minimal Wear)                        $310.78 USD         #2
Name: * StatTrak(TM) Karambit | Damascus Steel (Minimal Wear)                    $311.79 USD         #4
Name: * StatTrak(TM) Flip Knife | Slaughter (Factory New)                        $313.74 USD         #1
Name: * StatTrak(TM) Karambit | Black Laminate (Well-Worn)                       $312.01 USD         #3
Name: * StatTrak(TM) Flip Knife | Blue Steel (Factory New)                       $312.38 USD         #1
Name: * Karambit | Blue Steel (Factory New)                                      $312.62 USD         #1
Name: * StatTrak(TM) Karambit                                                    $312.85 USD         #5
Name: * StatTrak(TM) M9 Bayonet | Doppler (Factory New)                          $313.00 USD         #25
Name: * StatTrak(TM) Bayonet | Black Laminate (Minimal Wear)                     $312.02 USD         #1
Name: * StatTrak(TM) Bayonet | Autotronic (Field-Tested)                         $315.99 USD         #4
Name: Sticker | BnTeT (Gold) | Boston 2018                                       $314.65 USD         #2
Name: * StatTrak(TM) M9 Bayonet | Stained (Factory New)                          $315.45 USD         #1
Name: * StatTrak(TM) Bowie Knife | Fade (Factory New)                            $315.50 USD         #6
Name: * Falchion Knife | Doppler (Minimal Wear)                                  $315.75 USD         #5
Name: Tec-9 | Nuclear Threat (Factory New)                                       $318.01 USD         #3
Name: Souvenir Desert Eagle | Hand Cannon (Factory New)                          $318.38 USD         #4
Name: P250 | Modern Hunter (Factory New)                                         $318.71 USD         #2
Name: * StatTrak(TM) M9 Bayonet | Tiger Tooth (Factory New)                      $320.00 USD         #6
Name: * Butterfly Knife | Boreal Forest (Factory New)                            $320.00 USD         #2
Name: StatTrak(TM) USP-S | Kill Confirmed (Factory New)                          $320.00 USD         #2
Name: * StatTrak(TM) Huntsman Knife | Marble Fade (Factory New)                  $320.54 USD         #10
Name: * StatTrak(TM) Bowie Knife | Ultraviolet (Minimal Wear)                    $320.65 USD         #1
Name: * Driver Gloves | King Snake (Well-Worn)                                   $321.47 USD         #2
Name: * StatTrak(TM) Shadow Daggers | Blue Steel (Factory New)                   $322.00 USD         #2
Name: * StatTrak(TM) Butterfly Knife | Slaughter (Field-Tested)                  $322.32 USD         #2
Name: * StatTrak(TM) Flip Knife | Gamma Doppler (Minimal Wear)                   $322.58 USD         #1
Name: * StatTrak(TM) Karambit | Case Hardened (Well-Worn)                        $322.58 USD         #2
Name: * Hand Wraps | Cobalt Skulls (Battle-Scarred)                              $322.58 USD         #1
Name: * StatTrak(TM) Huntsman Knife | Crimson Web (Minimal Wear)                 $324.00 USD         #1
Name: MP9 | Bulldozer (Factory New)                                              $324.50 USD         #1
Name: * StatTrak(TM) M9 Bayonet | Black Laminate (Battle-Scarred)                $324.99 USD         #1
